Date,Major events,Details,NYT N1 (Titles),NYT N2,NYT N3,Label,Indicator,event_id,events_entities,entities_labels,KeyPhrases,Actions,matching_articles,normalized_entities,Combined_entities,actor_entities,geo_entities,similarity_scores_Title,article_sim_id_Title,temporal_scores,article_id,article_title,match_score,similarity_score,temporal_score,final_scores,match_Labels
2020-11-11,,,What’s Happening in Ethiopia Is a Tragedy,,,,,037999214d883d4d4cb46dc483c6994a052a85451253b8369d1a179b8d7411a9,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-12,,,,,,,,d00ecaa7d2e137e4c15234262bde6c12943b5489634be8370a61c25665909f07,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-13,,,,,,,,bad2c5d5c79ccdc581373602d857b41a36c19c94637f13370e023b6d87281f0e,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-14,,,,,,,,bfe98ac8dc49cf3a9310e6a40e851ead061016013283581d25daab0798f67c8a,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-15,,,They Once Ruled Ethiopia. Now They Are Fighting Its Government.,,,,,d55bdb05db59ac82f3a7589aaf98a1a72edb4acac592d38629e0c3d2d7918cb2,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-16,,,,,,,,99c22a10feefd04ba3ba0d7a671afa45926e7a38c232235babe5197896a6435b,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-17,,,"As Fighting Rages in Ethiopia, Aid Groups Plead for Access to Refugees",,,,,4052986ae91db7205747a45bac73c331f7184cbbec65e09ac1a0e70c0ea2aa86,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-18,,,,,,,,b4d340cfc4ddbcd02fe92f2a19b2bd3cd38c4694b9b39941be6269c12556caff,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-19,,,,,,,,e9235bbc49b6ca9fbd290c55beba373d114611808a40e7fa06ee0ff80a351617,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-20,,,,,,,,eb3705f75813be5529f8ee83724d510c3a2bbf1491cd300cbe98292b62192483,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-21,,,,,,,,0dbb9ed17694fe6d0bff37703ac17b07a53ea4ee76b26ee2515acea7e8391eba,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-22,,,,,,,,c0ad2fc28ba5e001004d0799e777d058f655786b6609175bd7fbce5c4d149904,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
2020-11-23,,,,,,,,90b13a84f3380cee014cb09a0a561f11ea3460b0dd16bdc73892e688db9fccd7,[],[],[],[],,[],[],[],[],,,[],,,,,,,Invalid
